sample	batch	sampletype	cell_and_color	sampleId
1A_050322	Batch050322	eppendorf	eppendorf	x1A_050322
1B_050322	Batch050322	eppendorf	eppendorf	x1B_050322
1C_050322	Batch050322	eppendorf	eppendorf	x1C_050322
3A_050322	Batch050322	T0_supernatant	L_murinus	x3A_050322
3B_050322	Batch050322	T0_supernatant	L_murinus	x3B_050322
3C_050322	Batch050322	T0_supernatant	L_murinus	x3C_050322
4A_050322	Batch050322	T0_supernatant	L_rhamnosus	x4A_050322
4B_050322	Batch050322	T0_supernatant	L_rhamnosus	x4B_050322
4C_050322	Batch050322	T0_supernatant	L_rhamnosus	x4C_050322
5A_050322	Batch050322	T0_supernatant	E_coli	x5A_050322
5B_050322	Batch050322	T0_supernatant	E_coli	x5B_050322
5C_050322	Batch050322	T0_supernatant	E_coli	x5C_050322
6A_050322	Batch050322	T0_supernatant	BHI	x6A_050322
6B_050322	Batch050322	T0_supernatant	BHI	x6B_050322
6C_050322	Batch050322	T0_supernatant	BHI	x6C_050322
8A_050322	Batch050322	T0_supernatant	L_murinus	x8A_050322
8B_050322	Batch050322	T0_supernatant	L_murinus	x8B_050322
8C_050322	Batch050322	T0_supernatant	L_murinus	x8C_050322
9A_050322	Batch050322	T0_supernatant	L_rhamnosus	x9A_050322
9B_050322	Batch050322	T0_supernatant	L_rhamnosus	x9B_050322
9C_050322	Batch050322	T0_supernatant	L_rhamnosus	x9C_050322
10A_050322	Batch050322	T0_supernatant	E_coli	x10A_050322
10B_050322	Batch050322	T0_supernatant	E_coli	x10B_050322
10C_050322	Batch050322	T0_supernatant	E_coli	x10C_050322
11A_050322	Batch050322	T0_supernatant	BHI	x11A_050322
11B_050322	Batch050322	T0_supernatant	BHI	x11B_050322
11C_050322	Batch050322	T0_supernatant	BHI	x11C_050322
